date,mva_qld_simple_60,mva_jesse_60,mva_old_tech_60
2021-07-06,0.3338062205106067,0.34887817669516097,0.3173156027942323
2021-07-07,0.3341082950565461,0.3469133469388387,0.31897835800461527
2021-07-08,0.33310897705273845,0.3471616911032804,0.3197293318439811
2021-07-09,0.3330662521866718,0.34743952150407076,0.31949422630925745
2021-07-12,0.33281084133232164,0.3477559348996554,0.31943322376802297
2021-07-13,0.3335642350136097,0.34706057612069025,0.31937518886570004
2021-07-14,0.3339192501880184,0.34536719632392365,0.32071355348805797
2021-07-15,0.33293645872997757,0.3466868735844269,0.32037666768559553
2021-07-16,0.3360413440409445,0.3449029178226421,0.3190557381364134
2021-07-19,0.3369062936874801,0.3419540752247139,0.321139631087806
2021-07-20,0.3356354701448341,0.34311888669984,0.3212456431553259
2021-07-21,0.3349214600616551,0.34314825505193447,0.3219302848864105
2021-07-22,0.3367704405885926,0.341554497417877,0.3216750619935303
2021-07-23,0.33671478970009866,0.3417468244345865,0.3215383858653148
2021-07-26,0.3355402099702134,0.34018049051624094,0.3242792995135458
2021-07-27,0.33548228485016673,0.340284803456848,0.3242329116929853
2021-07-28,0.33493631514879335,0.33929368034690693,0.3257700045042998
2021-07-29,0.3337789962739956,0.33979428438427384,0.3264267193417307
2021-07-30,0.33256248124591414,0.34121952261350413,0.3262179961405817
2021-08-02,0.33162715151910965,0.34275868741180276,0.32561416106908747
2021-08-03,0.33176192911142244,0.3418635063592738,0.32637456452930363
2021-08-04,0.32924719903906774,0.3456862746727611,0.3250665262881713
2021-08-05,0.3299362462639415,0.34426692585056,0.32579682788549863
2021-08-06,0.32776548673441447,0.3464960626759809,0.3257384505896047
2021-08-09,0.3282743830596517,0.34772696990192425,0.32399864703842407
2021-08-10,0.3296532961113084,0.3459356445893187,0.3244110592993729
2021-08-11,0.33013957884102935,0.34552370707352426,0.32433671408544634
2021-08-12,0.33189800626748744,0.3444317766546588,0.3236702170778537
2021-08-13,0.3325708643324337,0.34418643994924975,0.32324269571831665
2021-08-16,0.3323029627369227,0.344906552220494,0.3227904850425833
2021-08-17,0.33297319648473095,0.3442112789447747,0.3228155245704942
2021-08-18,0.33320384566980465,0.34424046573184075,0.32255568859835465
2021-08-19,0.3340329146833978,0.34275205938353387,0.3232150259330682
2021-08-20,0.33603590750699563,0.3392483965678566,0.32471569592514776
2021-08-23,0.3367296915041922,0.3386776939365388,0.3245926145592689
2021-08-24,0.33587960226526686,0.3388826277516148,0.3252377699831182
2021-08-25,0.3362126827425804,0.33798390096537656,0.325803416292043
2021-08-26,0.3364509456789423,0.3384621891103003,0.3250868652107575
2021-08-27,0.3350555516863811,0.33840069739422224,0.32654375091939664
2021-08-30,0.33594129083565066,0.33792273308171894,0.32613597608263045
2021-08-31,0.3362863148941024,0.33644057033150176,0.32727311477439597
2021-09-01,0.33669735537125595,0.3374587558008416,0.3258438888279025
2021-09-02,0.336369379725411,0.33741141024656196,0.3262192100280271
2021-09-03,0.3357510729265814,0.3379529187121953,0.32629600836122324
2021-09-07,0.3363519684564969,0.33795367570703144,0.32569435583647177
2021-09-08,0.3371885699738051,0.336861781548828,0.32594964847736685
2021-09-09,0.3359504144544005,0.3385754121766178,0.3254741733689816
2021-09-10,0.33500859394957344,0.33916749848159045,0.32582390756883617
2021-09-13,0.33367996121712384,0.33876534482119325,0.32755469396168296
2021-09-14,0.3332557894680512,0.3378689852422506,0.32887522528969826
2021-09-15,0.3335166345660623,0.3377603481687418,0.328723017265196
2021-09-16,0.3330636596650696,0.3372949652884595,0.3296413750464709
2021-09-17,0.333696579930387,0.3366362104083171,0.3296672096612959
2021-09-20,0.33490236327003203,0.3361039872901658,0.3289936494398023
2021-09-21,0.3350593961445276,0.33643934108168383,0.32850126277378866
2021-09-22,0.33440395170137843,0.3368006426855414,0.32879540561308024
2021-09-23,0.3345435147674628,0.3363390165900125,0.3291174686425247
2021-09-24,0.33518045675831015,0.3360586014291024,0.32876094181258747
2021-09-27,0.33392840151998227,0.3360803120791921,0.32999128640082565
2021-09-28,0.33274484798587584,0.33869258786090417,0.32856256415322
2021-09-29,0.33264429204356805,0.3384800016501694,0.3288757063062626
2021-09-30,0.33133036188267606,0.3392676581045465,0.32940198001277743
2021-10-01,0.33087980869990363,0.3395100535830821,0.3296101377170142
2021-10-04,0.33197084652275916,0.3380779690087385,0.3299511844685024
2021-10-05,0.33167623466777296,0.3386453587660717,0.32967840656615544
2021-10-06,0.3311028006758969,0.3400650314082761,0.3288321679158271
2021-10-07,0.3296781155366358,0.3417751792992767,0.32854670516408757
2021-10-08,0.32980218640558134,0.3413007520177444,0.3288970615766742
2021-10-11,0.3278722138624323,0.34297542182926793,0.32915236430829975
2021-10-12,0.3279680897107033,0.3442042994175629,0.32782761087173373
